model,"local db","cloud db",result
"cerebras/gpt-oss-120b","enabled","enabled","Available"
"cerebras/llama3.1-8b","disabled","disabled","Disabled"
"cerebras/qwen-3-235b-a22b-instruct-2507","disabled","disabled","Disabled"
"cerebras/zai-glm-4.7","disabled","disabled","Disabled"
"cloudflare/@cf/deepseek-ai/deepseek-r1-distill-qwen-32b","enabled","enabled","No Api"
"cloudflare/@cf/google/gemma-4-26b-a4b-it","enabled","enabled","No Api"
"cloudflare/@cf/ibm-granite/granite-4.0-h-micro","enabled","enabled","No Api"
"cloudflare/@cf/meta/llama-3.3-70b-instruct-fp8-fast","enabled","enabled","No Api"
"cloudflare/@cf/meta/llama-4-scout-17b-16e-instruct","enabled","enabled","No Api"
"cloudflare/@cf/moonshotai/kimi-k2.6","enabled","enabled","No Api"
"cloudflare/@cf/nvidia/nemotron-3-120b-a12b","enabled","enabled","No Api"
"cloudflare/@cf/openai/gpt-oss-120b","enabled","enabled","No Api"
"cloudflare/@cf/qwen/qwen3-30b-a3b-fp8","enabled","enabled","No Api"
"cloudflare/@cf/zai-org/glm-4.7-flash","enabled","enabled","No Api"
"cohere/command-a-03-2025","enabled","enabled","No Api"
"cohere/command-a-reasoning-08-2025","enabled","enabled","No Api"
"cohere/command-r-08-2024","enabled","enabled","No Api"
"cohere/command-r-plus-08-2024","enabled","enabled","No Api"
"github/gpt-4o","enabled","enabled","No Api"
"github/openai/gpt-4.1","enabled","enabled","No Api"
"google/gemini-2.5-flash","enabled","enabled","Available"
"google/gemini-2.5-flash-lite","enabled","enabled","Available"
"google/gemini-2.5-pro","disabled","disabled","Disabled"
"google/gemini-3-flash-preview","enabled","enabled","Available"
"google/gemini-3.1-flash-lite-preview","enabled","enabled","Available"
"google/gemini-3.1-pro-preview","disabled","disabled","Disabled"
"google/gemini-3.5-flash","enabled","enabled","Available"
"groq/groq/compound","enabled","enabled","Available"
"groq/groq/compound-mini","enabled","enabled","Available"
"groq/llama-3.1-8b-instant","enabled","enabled","Available"
"groq/llama-3.3-70b-versatile","enabled","enabled","Available"
"groq/meta-llama/llama-4-scout-17b-16e-instruct","enabled","enabled","Available"
"groq/openai/gpt-oss-120b","enabled","enabled","Available"
"groq/openai/gpt-oss-20b","enabled","enabled","Available"
"groq/openai/gpt-oss-safeguard-20b","enabled","enabled","Available"
"groq/qwen/qwen3-32b","enabled","enabled","Available"
"huggingface/deepseek-ai/DeepSeek-V4-Flash","enabled","enabled","No Api"
"huggingface/moonshotai/Kimi-K2.6","enabled","enabled","No Api"
"huggingface/Qwen/Qwen3-Coder-Next","enabled","enabled","No Api"
"kilo/nvidia/nemotron-3-super-120b-a12b:free","enabled","enabled","No Api"
"llm7/codestral-latest","enabled","enabled","No Api"
"llm7/GLM-4.6V-Flash","enabled","enabled","No Api"
"llm7/gpt-oss-20b","enabled","enabled","No Api"
"llm7/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo","enabled","enabled","No Api"
"llm7/ministral-8b-2512","enabled","enabled","No Api"
"mistral/codestral-latest","enabled","enabled","Available"
"mistral/devstral-latest","enabled","enabled","Available"
"mistral/magistral-medium-latest","enabled","enabled","Available"
"mistral/ministral-8b-latest","enabled","enabled","Available"
"mistral/mistral-large-latest","enabled","enabled","Available"
"mistral/mistral-medium-latest","enabled","enabled","Available"
"mistral/mistral-small-latest","enabled","enabled","Available"
"nvidia/deepseek-ai/deepseek-v4-flash","enabled","enabled","Available"
"nvidia/deepseek-ai/deepseek-v4-pro","enabled","enabled","Available"
"nvidia/google/gemma-4-31b-it","enabled","enabled","Available"
"nvidia/meta/llama-3.1-70b-instruct","enabled","enabled","Available"
"nvidia/meta/llama-3.3-70b-instruct","enabled","enabled","Available"
"nvidia/meta/llama-4-maverick-17b-128e-instruct","enabled","enabled","Available"
"nvidia/minimaxai/minimax-m2.7","enabled","enabled","Available"
"nvidia/mistralai/mistral-large-3-675b-instruct-2512","enabled","enabled","Available"
"nvidia/moonshotai/kimi-k2.6","enabled","enabled","Available"
"nvidia/nvidia/nemotron-3-nano-30b-a3b","enabled","enabled","Available"
"nvidia/nvidia/nemotron-3-super-120b-a12b","enabled","enabled","Available"
"nvidia/qwen/qwen3-coder-480b-a35b-instruct","enabled","enabled","Available"
"nvidia/z-ai/glm-5.1","enabled","enabled","Available"
"ollama/cogito-2.1:671b","enabled","enabled","No Api"
"ollama/deepseek-v3.2","disabled","disabled","Disabled"
"ollama/devstral-2:123b","enabled","enabled","No Api"
"ollama/gemma4:31b","enabled","enabled","No Api"
"ollama/glm-4.7","enabled","enabled","No Api"
"ollama/gpt-oss:120b","enabled","enabled","No Api"
"ollama/gpt-oss:20b","enabled","enabled","No Api"
"ollama/kimi-k2-thinking","disabled","disabled","Disabled"
"ollama/mistral-large-3:675b","disabled","disabled","Disabled"
"ollama/qwen3-coder-next","enabled","enabled","No Api"
"ollama/qwen3-coder:480b","enabled","enabled","No Api"
"openrouter/arcee-ai/trinity-large-thinking:free","enabled","enabled","No Api"
"openrouter/baidu/cobuddy:free","enabled","enabled","No Api"
"openrouter/google/gemma-4-26b-a4b-it:free","enabled","enabled","No Api"
"openrouter/google/gemma-4-31b-it:free","enabled","enabled","No Api"
"openrouter/liquid/lfm-2.5-1.2b-instruct:free","enabled","enabled","No Api"
"openrouter/liquid/lfm-2.5-1.2b-thinking:free","enabled","enabled","No Api"
"openrouter/meta-llama/llama-3.3-70b-instruct:free","enabled","enabled","No Api"
"openrouter/minimax/minimax-m2.5:free","enabled","enabled","No Api"
"openrouter/nousresearch/hermes-3-llama-3.1-405b:free","enabled","enabled","No Api"
"openrouter/nvidia/nemotron-3-nano-30b-a3b:free","enabled","enabled","No Api"
"openrouter/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free","enabled","enabled","No Api"
"openrouter/nvidia/nemotron-3-super-120b-a12b:free","enabled","enabled","No Api"
"openrouter/nvidia/nemotron-nano-9b-v2:free","enabled","enabled","No Api"
"openrouter/openai/gpt-oss-120b:free","enabled","enabled","No Api"
"openrouter/openai/gpt-oss-20b:free","enabled","enabled","No Api"
"openrouter/openrouter/owl-alpha","enabled","enabled","No Api"
"openrouter/poolside/laguna-m.1:free","enabled","enabled","No Api"
"openrouter/poolside/laguna-xs.2:free","enabled","enabled","No Api"
"openrouter/qwen/qwen3-coder:free","enabled","enabled","No Api"
"openrouter/qwen/qwen3-next-80b-a3b-instruct:free","enabled","enabled","No Api"
"openrouter/z-ai/glm-4.5-air:free","enabled","enabled","No Api"
"pollinations/openai-fast","enabled","enabled","No Api"
"sambanova/DeepSeek-V3.1","enabled","enabled","Available"
"sambanova/DeepSeek-V3.2","enabled","enabled","Available"
"sambanova/gemma-3-12b-it","enabled","enabled","Available"
"sambanova/gpt-oss-120b","enabled","enabled","Available"
"sambanova/Llama-4-Maverick-17B-128E-Instruct","enabled","enabled","Available"
"sambanova/Meta-Llama-3.3-70B-Instruct","enabled","enabled","Available"
"zhipu/glm-4.5-flash","enabled","enabled","No Api"
"zhipu/glm-4.7-flash","enabled","enabled","No Api"
